Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
Associate's\ degree Bachelor's\ degree Doctorate\ degree Master's\ degree Professional\ degree high-school no\ diploma post-high-school,BUS CMM CMS ENG FIN LGL MGR SCI,continuous,Private\ Employee Government\ Employee Self-Employed No\ Pay,continuous,Married Widowed Divorced Separated One\ of\ Single,continuous,US non\ US,continuous,Male Female,White non\ White,Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New\ Hampshire New\ Jersey New\ Mexico New\ York North\ Carolina North\ Dakota Ohio Oklahoma Oregon Pennsylvania Rhode\ Island South\ Carolina South\ Dakota Tennesse Texas Utah Vermount Virginia Washington West\ Virginia Wisconsin Wyoming Puerto\ Rico,continuous,continuous,continuous,
meta,meta,,,,,,,,,,,,,,
post-high-school,LGL,28, Private Employee,18,One of Single,4700,US,50,Female,White,Illinois,40000,10.59663473,2353,7.763446389
post-high-school,LGL,56,Government Employee,18,Divorced,4230,US,40,Male,non White,Connecticut,45200,10.71885237,2094,7.646831391
Bachelor's degree,ENG,23, Private Employee,21,One of Single,1430,US,40,Male,White,Illinois,58010,10.96837069,1531,7.333676396
Bachelor's degree,LGL,33, Private Employee,21,Married,4710,US,50,Female,White,Illinois,68000,11.12726298,1211,7.099201744
Doctorate degree,LGL,38, Private Employee,24,Married,3250,US,40,Female,White,Connecticut,75000,11.22524339,1002,6.909753282
Professional degree,LGL,56,Self-Employed,23,Separated,5100,US,45,Male,White,California,21500,9.975808214,3589,8.185628891
high-school,LGL,83, Private Employee,17,Married,9610,US,16,Male,non White,Michigan,45400,10.72326738,2089,7.644440762
Master's degree,LGL,22, Private Employee,22,One of Single,9620,US,50,Female,White,Florida,50000,10.81977828,1785,7.487173694
high-school,LGL,46, Private Employee,17,Divorced,6442,US,40,Male,White,Washington,40000,10.59663473,2353,7.763446389
high-school,LGL,56, Private Employee,16,One of Single,4251,US,40,Male,White,Florida,25000,10.1266311,3296,8.100464891
post-high-school,LGL,20, Private Employee,19,One of Single,3930,US,16,Female,non White,New Hampshire,5400,8.594154233,4571,8.427487278
high-school,LGL,49,Self-Employed,16,Married,2752,US,40,Male,White,South Carolina,25000,10.1266311,3296,8.100464891
Professional degree,CMS,38, Private Employee,23,One of Single,2040,US,50,Male,White,Massachusetts,40000,10.59663473,2353,7.763446389
high-school,LGL,53,Self-Employed,16,Married,4220,US,40,Female,White,Indiana,18000,9.798127037,3810,8.245384468
no diploma,LGL,40, Private Employee,9,Married,4220,non US,40,Male,White,Tennesse,28000,10.23995979,3129,8.048468744
Bachelor's degree,CMM,54, Private Employee,21,Divorced,1021,US,40,Male,White,Illinois,151000,11.92503512,269,5.59471138
Doctorate degree,CMM,57,Government Employee,24,Married,1010,non US,99,Male,non White,Oregon,392000,12.87901712,66,4.189654742
high-school,LGL,59, Private Employee,16,Married,8140,non US,40,Male,non White,New Jersey,25000,10.1266311,3296,8.100464891
high-school,LGL,30, Private Employee,16,One of Single,7700,US,48,Male,White,California,72000,11.1844214,1092,6.995766156
Bachelor's degree,LGL,61, Private Employee,21,Married,2320,US,16,Female,White,Pennsylvania,20000,9.903487553,3651,8.202756382
Master's degree,MGR,38, Private Employee,22,Married,440,non US,40,Male,White,New York,100000,11.51292546,592,6.383506635
Bachelor's degree,LGL,69,Self-Employed,21,Married,4251,US,30,Male,White,California,41100,10.6237634,2310,7.745002804
Bachelor's degree,MGR,53,Government Employee,21,Divorced,440,US,40,Female,White,Nevada,29800,10.30226367,3070,8.029432841
Bachelor's degree,LGL,62, Private Employee,21,Divorced,3255,US,24,Female,White,Florida,65500,11.08980542,1256,7.135687347
Associate's degree,LGL,38, Private Employee,20,Married,3160,US,37,Female,White,New York,32000,10.37349118,2855,7.956827122
post-high-school,LGL,22, Private Employee,19,One of Single,4760,US,28,Male,non White,Texas,17000,9.740968623,3877,8.262816938
Bachelor's degree,BUS,67,Government Employee,21,Divorced,630,US,40,Female,White,California,60000,11.00209984,1409,7.250635512
no diploma,LGL,71, Private Employee,15,Married,9130,US,40,Male,White,Missouri,38000,10.54534144,2526,7.834392303
Bachelor's degree,LGL,60, Private Employee,21,Married,2805,US,25,Male,White,Rhode Island,190000,12.15477935,186,5.225746674
post-high-school,LGL,19, Private Employee,18,One of Single,5240,US,10,Female,White,Rhode Island,3300,8.101677747,4714,8.458292083
post-high-school,CMM,26,Self-Employed,19,One of Single,1050,US,5,Male,White,Tennesse,7000,8.853665428,4465,8.404024493
high-school,LGL,52, Private Employee,16,Married,9620,US,41,Male,White,Maine,70000,11.15625052,1135,7.03438793
high-school,LGL,24, Private Employee,16,One of Single,4720,US,30,Male,White,Maryland,30000,10.30895266,2949,7.989221409
no diploma,LGL,35, Private Employee,14,Married,4020,US,40,Male,White,Texas,15100,9.622450023,3961,8.284251798
Bachelor's degree,BUS,63, Private Employee,21,Married,710,US,36,Female,White,South Carolina,70000,11.15625052,1135,7.03438793
post-high-school,LGL,26, Private Employee,18,Married,8365,US,36,Female,non White,Georgia,20300,9.918376165,3641,8.200013648
post-high-school,LGL,63,Self-Employed,19,One of Single,4920,US,20,Female,non White,Georgia,26300,10.17732422,3234,8.08147504
post-high-school,ENG,43, Private Employee,19,Married,1555,US,55,Male,White,Texas,150000,11.91839057,275,5.616771098
post-high-school,MGR,33, Private Employee,18,One of Single,310,US,55,Female,White,California,50000,10.81977828,1785,7.487173694
Professional degree,LGL,62, Private Employee,23,Married,4760,non US,44,Male,White,Illinois,39910,10.5943822,2483,7.817222786
Bachelor's degree,MGR,70, Private Employee,21,Married,140,US,60,Male,White,Georgia,114300,11.64658185,487,6.188264123
high-school,LGL,27,Self-Employed,16,Married,4600,non US,30,Female,White,New York,30000,10.30895266,2949,7.989221409
high-school,LGL,24, Private Employee,16,One of Single,4600,US,40,Female,White,Missouri,25000,10.1266311,3296,8.100464891
